date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming,feature_activity,feature_avg_valence,feature_var_valence,feature_office_app,feature_travel_app,feature_entertainment_app,feature_communication_app,feature_social_app,feature_day_week
2014-03-13,7.0,0.0,1252.236999988556,-2.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,73.508,513.395,174.092,3
2014-03-14,7.6,0.64,8542.911001682281,-0.4,1.84,8.0,0.0,0.0,1.4,0.64,0.0,2862.4149999999995,107.312,5379.806000000001,1112.07,4
2014-03-15,7.333333333333333,0.6666666666666665,13176.473000288011,0.1111111111111111,1.432098765432099,10.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,749.371,8645.262,1651.759,5
2014-03-16,7.0,0.7692307692307693,18094.904999256138,-0.1538461538461538,1.5147928994082842,0.0,0.0,0.0,0.6923076923076923,0.6745562130177514,0.0,0.0,749.371,9193.227,2195.548,6
2014-03-17,6.9411764705882355,0.643598615916955,21211.62099814415,0.0,1.411764705882353,0.0,0.0,0.0,0.7647058823529411,0.532871972318339,0.0,3070.436999999999,0.0,10178.276000000002,2619.6419999999994,0
2014-03-18,6.9523809523809526,0.6167800453514738,23957.757996559143,0.0476190476190476,1.2834467120181403,0.0,0.0,0.0,0.8095238095238095,0.4399092970521543,0.0,0.0,3080.071,15970.559,3033.829,1
2014-03-19,7.08,0.6335999999999998,38314.53599572183,-0.04,1.2384,0.0,0.0,0.0,0.88,0.4256000000000001,0.0,0.0,4076.28,25508.85,3265.4040000000005,2
2014-03-20,6.931034482758621,1.3055885850178357,46922.11899471285,0.0344827586206896,1.2057074910820451,0.0,0.0,4.025243547302371,0.7586206896551724,0.6658739595719383,0.0,0.0,4693.077,32948.44,3675.589,3
2014-03-21,6.9393939393939394,2.178145087235997,59814.334992647186,0.0606060606060606,1.2690541781450873,11.0,0.0,5.225776788521391,0.7878787878787878,0.9550045913682278,0.0,3106.7349999999997,5855.294,47035.853,3817.004,4
2014-03-22,7.108108108108108,2.204528853177502,71948.56999254228,0.2162162162162162,1.3586559532505482,0.0,0.0,6.311068647200345,0.8918918918918919,0.9612856099342588,0.0,0.0,7998.807,55538.0,4441.772,5
2014-03-23,7.170731707317073,2.0928019036287924,78453.42899274826,0.3414634146341463,1.3955978584176083,12.0,0.0,8.259910346042044,0.926829268292683,0.8970850684116597,0.0,0.0,8622.710000000001,61345.891,4650.347,6
2014-03-24,7.333333333333333,2.177777777777777,83111.82099318504,0.4,1.44,39.0,0.0,11.33404020311308,1.0,0.8888888888888888,0.0,0.0,9314.7,64456.528,4823.768,0
2014-03-25,7.346938775510204,2.0224906289046225,87621.05599260332,0.4489795918367347,1.3902540608079963,0.0,0.0,12.516862027495003,1.0612244897959184,0.8738025822573929,0.0,3248.143,9519.104,68743.471,5158.429,1
2014-03-26,7.415094339622642,1.9786400854396584,95787.05599212648,0.2830188679245283,1.63688145247419,51.0,0.0,16.46437864287389,1.0377358490566038,0.8287646849412601,0.0,0.0,9992.627,76009.371,5377.591,2
2014-03-27,7.403508771929824,1.8547245306248077,104207.9539911747,0.1929824561403508,1.6294244382887042,12.0,0.0,17.653414068166843,1.0350877192982455,0.7706986765158511,0.0,3248.143,10706.594,83232.428,5687.117,3
2014-03-28,7.409836065573771,1.7500671862402584,116356.98099088667,0.1147540983606557,1.7081429723192691,0.0,0.0,22.687170163934827,1.0491803278688523,0.735286213383499,33.368,3457.365,12333.15,88232.44,8650.174,4
2014-03-29,7.4,1.6553846153846152,121973.35399222374,0.0,1.8153846153846152,0.0,0.0,25.417083957038273,1.0461538461538462,0.6901775147928993,0.0,0.0,13016.476,93317.811,9298.707,5
2014-03-30,7.36231884057971,1.5933627389203948,131491.91799163818,-0.0144927536231884,1.8113841629909688,0.0,0.0,26.89449667113577,1.0289855072463767,0.6658265070363371,0.0,0.0,13417.864,100619.74,9382.845,6
2014-03-31,7.342465753424658,1.540251454306624,136884.99498963356,-0.0821917808219178,1.8014636892475135,39.0,0.0,30.3012193602114,1.0,0.6575342465753424,0.0,0.0,14497.943,103293.86,10105.594,0
2014-04-01,7.342105263157895,1.4882271468144046,144376.4199900627,-0.1447368421052631,1.834314404432133,55.0,0.0,34.56619951894156,1.0,0.631578947368421,0.0,0.0,15125.432,107529.644,14229.168,1
2014-04-02,7.35,1.4274999999999998,153563.1599869728,-0.2,1.81,0.0,0.0,39.67220165856439,1.0,0.6,0.0,0.0,15692.404000000002,128240.497,14967.11,2
2014-04-03,7.369047619047619,1.3995181405895691,164913.39398646355,-0.2142857142857142,1.7636054421768708,63.0,0.0,44.23169383660668,1.0238095238095235,0.594671201814059,0.0,0.0,15692.404000000002,140774.402,14992.314,3
2014-04-04,7.386363636363637,1.3734504132231409,172963.0609896183,-0.2159090909090909,1.714746900826446,22.0,0.0,46.98608546837848,1.0227272727272727,0.5676652892561983,0.0,0.0,16306.102,147899.733,15335.259999999998,4
2014-04-05,7.358695652173913,1.3387287334593574,185391.25998926163,-0.2065217391304347,1.6638705103969755,0.0,0.0,48.530287401197434,1.0217391304347827,0.5430056710775047,0.0,0.0,16802.912,159705.675,15358.213,5
2014-04-06,7.326315789473684,1.3356232686980607,193481.19698786736,-0.1894736842105263,1.6483102493074802,0.0,0.0,52.20747301295931,1.0105263157894735,0.5367313019390579,0.0,3695.397,16987.949999999997,165849.78,15652.746,6
2014-04-07,7.343434343434343,1.296194265891235,204069.2879872322,-0.2121212121212121,1.601469237832874,65.0,0.0,56.527542864445095,1.0101010101010102,0.5150494847464544,0.0,0.0,16999.154,178206.367,16501.701,0
2014-04-08,7.378640776699029,1.2838156282401731,214357.1979894638,-0.174757281553398,1.5811103779809594,44.0,0.0,58.39257558617947,1.029126213592233,0.5137147704778963,0.0,0.0,17656.433,186184.881,16571.545,1
2014-04-09,7.392523364485982,1.24779456721111,228584.11998653412,-0.1869158878504672,1.5538474975980434,47.0,0.0,61.24655280977757,1.0373831775700937,0.5032753952310245,0.0,0.0,17891.907,197379.997,16779.415,2
